timestamp,FR_Hip,FR_Thigh,FR_Calf,FL_Hip,FL_Thigh,FL_Calf,BR_Hip,BR_Thigh,BR_Calf,BL_Hip,BL_Thigh,BL_Calf
1782329008.571,90.00,43.54,116.03,93.00,129.63,65.80,97.00,46.53,116.60,97.00,121.87,66.01
1782329008.684,90.00,43.55,116.03,93.00,129.67,65.78,97.00,46.57,116.57,97.00,121.88,66.01
1782329008.798,90.00,43.56,116.02,93.00,129.70,65.75,97.00,46.61,116.53,97.00,121.89,66.00
1782329008.910,90.00,43.56,116.01,93.00,129.74,65.72,97.00,46.65,116.50,97.00,121.89,65.99
1782329009.023,90.00,43.57,116.01,93.00,129.77,65.69,97.00,46.69,116.47,97.00,121.90,65.99
1782329009.135,90.00,43.58,116.00,93.00,129.81,65.66,97.00,46.73,116.43,97.00,121.91,65.98
1782329009.251,90.00,43.59,116.00,93.00,129.85,65.63,97.00,46.77,116.40,97.00,121.92,65.98
1782329009.364,90.00,43.60,115.99,93.00,129.88,65.61,97.00,46.81,116.37,97.00,121.92,65.97
1782329009.476,90.00,43.60,115.98,93.00,129.92,65.58,97.00,46.85,116.33,97.00,121.93,65.96
1782329009.750,90.00,43.62,115.97,93.00,130.00,65.51,97.00,46.95,116.25,97.00,121.95,65.95
1782329009.862,90.00,43.63,115.96,93.00,130.04,65.48,97.00,46.99,116.22,97.00,121.96,65.94
1782329009.974,90.00,43.64,115.96,93.00,130.07,65.45,97.00,47.03,116.19,97.00,121.96,65.94
1782329010.086,90.00,43.64,115.95,93.00,130.11,65.42,97.00,47.07,116.15,97.00,121.97,65.93
1782329010.203,90.00,43.65,115.94,93.00,130.15,65.40,97.00,47.11,116.12,97.00,121.98,65.93
1782329010.316,90.00,43.66,115.94,93.00,130.18,65.37,97.00,47.16,116.09,97.00,121.99,65.92
1782329010.428,90.00,43.67,115.93,93.00,130.22,65.34,97.00,47.20,116.05,97.00,121.99,65.91
1782329010.926,90.00,43.70,115.90,93.00,130.38,65.22,97.00,47.38,115.90,97.00,122.03,65.89
1782329011.037,90.00,43.71,115.90,93.00,130.41,65.19,97.00,47.42,115.87,97.00,122.03,65.88
1782329011.152,90.00,43.72,115.89,93.00,130.45,65.16,97.00,47.46,115.84,97.00,122.04,65.88
1782329011.264,90.00,43.73,115.88,93.00,130.48,65.13,97.00,47.50,115.80,97.00,122.05,65.87
1782329011.377,90.00,43.73,115.88,93.00,130.52,65.10,97.00,47.54,115.77,97.00,122.06,65.86
1782329011.489,90.00,43.74,115.87,93.00,130.55,65.08,97.00,47.58,115.74,97.00,122.06,65.86
1782329011.718,90.00,43.76,115.86,93.00,130.62,65.02,97.00,47.67,115.67,97.00,122.08,65.85
1782329011.831,90.00,43.76,115.85,93.00,130.66,64.99,97.00,47.71,115.63,97.00,122.09,65.84
1782329011.944,90.00,43.77,115.85,93.00,130.70,64.96,97.00,47.75,115.60,97.00,122.09,65.83
1782329012.057,90.00,43.78,115.84,93.00,130.73,64.94,97.00,47.79,115.57,97.00,122.10,65.83
1782329012.169,90.00,43.79,115.83,93.00,130.77,64.91,97.00,47.83,115.53,97.00,122.11,65.82
1782329012.282,90.00,43.80,115.83,93.00,130.80,64.88,97.00,47.87,115.50,97.00,122.11,65.82
1782329012.394,90.00,43.80,115.82,93.00,130.84,64.85,97.00,47.92,115.47,97.00,122.12,65.81
1782329012.529,90.00,43.81,115.81,93.00,130.88,64.82,97.00,47.97,115.42,97.00,122.13,65.80
1782329012.641,90.00,43.82,115.81,93.00,130.91,64.79,97.00,48.01,115.39,97.00,122.14,65.80
1782329012.755,90.00,43.83,115.80,93.00,130.95,64.76,97.00,48.05,115.36,97.00,122.15,65.79
